Sucursales ;Desembolsos (RD$);Cobros (RD$);Mes;Ańo
Constanza; 70,236,718 ; 36,585,450 ;Agosto;2025
La Vega; 301,418,694 ; 179,832,368 ;Agosto;2025
Santiago Rodríguez; 16,919,294 ; 31,791,362 ;Agosto;2025
Montecristi; 79,974,668 ; 65,381,465 ;Agosto;2025
Puerto Plata; 28,791,166 ; 33,590,226 ;Agosto;2025
Mao Valverde ; 197,654,806 ; 156,082,850 ;Agosto;2025
Dajabón; 33,253,742 ; 20,603,442 ;Agosto;2025
San José de Ocoa; 90,152,543 ; 76,245,748 ;Agosto;2025
Bonao; 35,131,485 ; 36,255,543 ;Agosto;2025
San Cristóbal; 18,923,673 ; 14,442,605 ;Agosto;2025
Salcedo; 11,173,903 ; 29,754,066 ;Agosto;2025
Cotuí; 57,492,755 ; 44,961,840 ;Agosto;2025
Santo Domingo; 141,176,537 ; 30,989,206 ;Septiembre;2025
El Seibo; 10,346,511 ; 40,111,576 ;Septiembre;2025
Higüey; 12,488,574 ; 29,658,817 ;Septiembre;2025
Hato Mayor; 8,497,924 ; 22,159,464 ;Septiembre;2025
Monte Plata; 45,659,714 ; 50,282,863 ;Septiembre;2025
Azua; 19,874,766 ; 12,250,515 ;Septiembre;2025
Baní; 60,441,669 ; 55,437,601 ;Septiembre;2025
Neyba; 15,048,780 ; 16,702,313 ;Septiembre;2025
Barahona; 5,325,948 ; 13,689,094 ;Septiembre;2025
San Juan de la Maguana ; 23,827,838 ; 18,587,591 ;Septiembre;2025
Comendador; 17,636,299 ; 8,665,331 ;Septiembre;2025
Nagua; 77,842,800 ; 87,588,029 ;Septiembre;2025
Arenoso; 9,817,801 ; 58,185,304 ;Septiembre;2025
Samaná; 11,337,238 ; 16,626,290 ;Septiembre;2025
Río San Juan; 14,256,315 ; 29,716,968 ;Septiembre;2025
Villa Riva; 18,841,963 ; 32,989,042 ;Septiembre;2025
San Francisco de Macorís; 90,690,828 ; 143,889,255 ;Septiembre;2025
Santiago; 69,479,364 ; 117,817,136 ;Septiembre;2025
Moca; 156,576,040 ; 181,563,981 ;Septiembre;2025
San José de las Matas; 64,540,743 ; 12,525,368 ;Septiembre;2025
Constanza; 91,073,064 ; 65,727,280 ;Septiembre;2025
La Vega; 208,781,996 ; 139,979,750 ;Septiembre;2025
Santiago Rodríguez; 22,359,556 ; 29,646,999 ;Septiembre;2025
Montecristi; 19,200,608 ; 54,570,214 ;Septiembre;2025
Puerto Plata; 35,563,547 ; 33,691,245 ;Septiembre;2025
Mao Valverde ; 165,381,855 ; 148,916,836 ;Septiembre;2025
Dajabón; 19,911,387 ; 16,989,735 ;Septiembre;2025
San José de Ocoa; 89,313,141 ; 60,545,364 ;Septiembre;2025
Bonao; 14,269,524 ; 18,767,187 ;Septiembre;2025
San Cristóbal; 15,792,774 ; 4,974,683 ;Septiembre;2025
Salcedo; 47,670,605 ; 162,688,015 ;Septiembre;2025
Cotuí; 40,758,328 ; 48,303,389 ;Septiembre;2025
Santo Domingo; 222,283,253 ; 263,106,321 ;Octubre ;2025
El Seibo; 32,555,003 ; 25,822,412 ;Octubre;2025
Higüey; 16,413,678 ; 44,445,400 ;Octubre;2025
Hato Mayor; 13,360,303 ; 31,124,664 ;Octubre;2025
Monte Plata; 23,435,876 ; 28,793,312 ;Octubre;2025
Azua; 15,128,980 ; 17,772,450 ;Octubre;2025
Baní; 144,374,605 ; 129,434,455 ;Octubre;2025
Neyba; 6,764,342 ; 11,190,286 ;Octubre;2025
Barahona; 7,999,765 ; 14,326,035 ;Octubre;2025
San Juan de la Maguana ; 45,680,639 ; 36,268,881 ;Octubre;2025
Comendador; 7,446,739 ; 18,396,019 ;Octubre;2025
Nagua; 18,460,121 ; 29,915,924 ;Octubre;2025
Arenoso; 12,973,506 ; 33,125,177 ;Octubre;2025
Samaná; 21,627,924 ; 15,372,026 ;Octubre;2025
Río San Juan; 24,626,855 ; 36,272,933 ;Octubre;2025
Villa Riva; 10,283,127 ; 17,546,208 ;Octubre;2025
San Francisco de Macorís; 89,970,471 ; 122,249,358 ;Octubre;2025
Santiago; 122,784,832 ; 81,397,126 ;Octubre;2025
Moca; 100,484,137 ; 110,946,262 ;Octubre;2025
San José de las Matas; 20,191,850 ; 15,271,277 ;Octubre;2025
Constanza; 63,030,101 ; 76,633,982 ;Octubre;2025
La Vega; 80,848,155 ; 95,641,907 ;Octubre;2025
Santiago Rodríguez; 25,623,196 ; 29,419,636 ;Octubre;2025
Montecristi; 31,614,641 ; 54,610,646 ;Octubre;2025
Puerto Plata; 50,117,159 ; 40,648,771 ;Octubre;2025
Mao Valverde ; 51,039,476 ; 92,967,386 ;Octubre;2025
Dajabón; 18,684,924 ; 28,401,726 ;Octubre;2025
San José de Ocoa; 94,746,558 ; 140,993,740 ;Octubre;2025
Bonao; 64,070,499 ; 43,735,871 ;Octubre;2025
San Cristóbal; 10,561,883 ; 7,891,574 ;Octubre;2025
Salcedo; 10,402,576 ; 30,406,990 ;Octubre;2025
Cotuí; 39,859,474 ; 55,854,868 ;Octubre;2025
Santo Domingo; 234,286,443 ; 185,353,353 ;Noviembre;2025
El Seibo; 12,393,692 ; 27,296,023 ;Noviembre;2025
Higüey; 32,647,924 ; 37,390,188 ;Noviembre;2025
Hato Mayor; 14,851,822 ; 24,818,638 ;Noviembre;2025
Monte Plata; 27,867,125 ; 67,580,381 ;Noviembre;2025
Azua; 26,820,303 ; 21,124,059 ;Noviembre;2025
Baní; 28,759,185 ; 17,534,339 ;Noviembre;2025
Neyba; 12,820,029 ; 9,368,241 ;Noviembre;2025
Barahona; 8,623,606 ; 12,084,296 ;Noviembre;2025
San Juan de la Maguana ; 96,619,055 ; 40,745,280 ;Noviembre;2025
Comendador; 14,963,249 ; 16,682,546 ;Noviembre;2025
Nagua; 23,205,278 ; 78,408,490 ;Noviembre;2025
Arenoso; 56,362,879 ; 69,944,608 ;Noviembre;2025
Samaná; 21,995,380 ; 19,535,183 ;Noviembre;2025
Río San Juan; 40,861,091 ; 53,757,792 ;Noviembre;2025
Villa Riva; 54,060,088 ; 46,180,193 ;Noviembre;2025
San Francisco de Macorís; 72,332,524 ; 79,944,349 ;Noviembre;2025
Santiago; 124,382,164 ; 53,087,192 ;Noviembre;2025
Moca; 66,117,761 ; 69,595,774 ;Noviembre;2025
San José de las Matas; 17,301,104 ; 13,645,243 ;Noviembre;2025
Constanza; 38,749,455 ; 59,679,978 ;Noviembre;2025
La Vega; 79,943,682 ; 166,094,213 ;Noviembre;2025
Santiago Rodríguez; 32,990,784 ; 20,922,636 ;Noviembre;2025
Montecristi; 95,310,059 ; 36,068,963 ;Noviembre;2025
Puerto Plata; 44,986,072 ; 28,564,389 ;Noviembre;2025
Mao Valverde ; 105,715,117 ; 206,117,734 ;Noviembre;2025
Dajabón; 18,052,303 ; 21,003,071 ;Noviembre;2025
San José de Ocoa; 96,963,491 ; 97,081,432 ;Noviembre;2025
Bonao; 60,860,490 ; 66,163,057 ;Noviembre;2025
San Cristóbal; 7,837,457 ; 8,207,880 ;Noviembre;2025
Salcedo; 21,559,846 ; 10,299,527 ;Noviembre;2025
Cotuí; 116,117,501 ; 104,012,282 ;Noviembre;2025
Santo Domingo; 393,617,155 ; 142,527,915 ;Diciembre;2025
El Seibo; 24,170,470 ; 38,860,153 ;Diciembre;2025
Higüey; 38,890,466 ; 49,135,989 ;Diciembre;2025
Hato Mayor; 48,507,325 ; 75,703,869 ;Diciembre;2025
Monte Plata; 56,090,250 ; 38,900,761 ;Diciembre;2025
Azua; 80,669,827 ; 59,135,778 ;Diciembre;2025
Baní; 464,728,531 ; 114,486,494 ;Diciembre;2025
Neyba; 25,368,062 ; 17,548,489 ;Diciembre;2025
Barahona; 35,823,074 ; 19,066,509 ;Diciembre;2025
San Juan de la Maguana ; 116,844,182 ; 62,763,947 ;Diciembre;2025
Comendador; 25,082,831 ; 18,946,007 ;Diciembre;2025
Nagua; 105,505,160 ; 61,318,024 ;Diciembre;2025
Arenoso; 161,814,271 ; 47,395,977 ;Diciembre;2025
Samaná; 42,023,979 ; 31,139,634 ;Diciembre;2025
Río San Juan; 48,858,038 ; 39,647,307 ;Diciembre;2025
Villa Riva; 143,007,485 ; 36,701,973 ;Diciembre;2025
San Francisco de Macorís; 182,016,546 ; 121,278,696 ;Diciembre;2025
Santiago; 170,922,831 ; 116,198,333 ;Diciembre;2025
Moca; 230,927,970 ; 94,066,181 ;Diciembre;2025
San José de las Matas; 46,544,978 ; 23,438,434 ;Diciembre;2025
Constanza; 164,931,656 ; 122,040,821 ;Diciembre;2025
La Vega; 172,768,286 ; 245,028,631 ;Diciembre;2025
Santiago Rodríguez; 64,806,832 ; 30,761,633 ;Diciembre;2025
Montecristi; 140,119,304 ; 66,352,028 ;Diciembre;2025
Puerto Plata; 86,113,053 ; 40,169,763 ;Diciembre;2025
Mao Valverde ; 187,957,008 ; 219,077,602 ;Diciembre;2025
Dajabón; 146,434,242 ; 61,512,776 ;Diciembre;2025
San José de Ocoa; 139,135,154 ; 85,658,776 ;Diciembre;2025
Bonao; 45,760,661 ; 68,851,311 ;Diciembre;2025
San Cristóbal; 69,831,722 ; 18,435,210 ;Diciembre;2025
Salcedo; 41,100,858 ; 13,569,520 ;Diciembre;2025
Cotuí; 163,693,520 ; 102,439,797 ;Diciembre;2025
Santo Domingo; 94,351,587 ; 361,817,830 ;Enero ;2026
El Seibo; 32,791,921 ; 18,750,337 ;Enero ;2026
Higüey; 5,635,454 ; 26,124,748 ;Enero;2026
Hato Mayor; 31,025,047 ; 23,909,419 ;Enero;2026
Monte Plata; 36,048,912 ; 46,881,381 ;Enero;2026
Azua; 34,208,799 ; 32,606,295 ;Enero;2026
Baní; 53,761,375 ; 43,233,880 ;Enero;2026
Neyba; 15,070,943 ; 21,993,381 ;Enero;2026
Barahona; 18,319,482 ; 21,529,469 ;Enero;2026
San Juan de la Maguana ; 29,594,710 ; 33,629,861 ;Enero;2026
Comendador; 12,602,169 ; 34,307,234 ;Enero;2026
Nagua; 45,940,357 ; 49,306,542 ;Enero;2026
Arenoso; 81,303,883 ; 33,864,100 ;Enero;2026
Samaná; 23,139,381 ; 18,355,203 ;Enero;2026
Río San Juan; 35,535,516 ; 18,067,966 ;Enero;2026
Villa Riva; 12,428,537 ; 20,623,894 ;Enero;2026
San Francisco de Macorís; 260,933,663 ; 387,990,824 ;Enero;2026
Santiago; 202,773,719 ; 197,378,966 ;Enero;2026
Moca; 35,368,606 ; 42,174,142 ;Enero;2026
San José de las Matas; 43,508,643 ; 19,393,694 ;Enero;2026
Constanza; 50,839,402 ; 58,982,308 ;Enero;2026
La Vega; 256,407,712 ; 205,800,057 ;Enero;2026
Santiago Rodríguez; 50,123,505 ; 42,216,945 ;Enero;2026
Montecristi; 50,293,115 ; 49,415,729 ;Enero;2026
Puerto Plata; 42,709,313 ; 55,734,223 ;Enero;2026
Mao Valverde ; 42,791,029 ; 84,740,419 ;Enero;2026
Dajabón; 31,120,989 ; 31,588,900 ;Enero;2026
San José de Ocoa; 78,538,342 ; 57,389,872 ;Enero;2026
Bonao; 17,909,543 ; 28,164,955 ;Enero;2026
San Cristóbal; 66,162,960 ; 22,551,321 ;Enero;2026
Salcedo; 25,067,390 ; 33,578,737 ;Enero;2026
Cotuí; 92,282,274 ; 52,743,123 ;Enero;2026
Santo Domingo; 164,135,733 ; 217,193,874 ;Febrero;2026
El Seibo; 11,981,371 ; 11,574,929 ;Febrero;2026
Higüey; 34,622,219 ; 31,730,113 ;Febrero;2026
Hato Mayor; 36,835,297 ; 99,793,247 ;Febrero;2026
Monte Plata; 46,304,959 ; 66,001,161 ;Febrero;2026
Azua; 20,693,089 ; 35,887,059 ;Febrero;2026
Baní; 41,373,563 ; 31,280,249 ;Febrero;2026
Neyba; 16,449,023 ; 15,887,625 ;Febrero;2026
Barahona; 8,520,026 ; 10,178,063 ;Febrero;2026
San Juan de la Maguana ; 52,931,411 ; 60,165,374 ;Febrero;2026
Comendador; 15,625,938 ; 19,503,326 ;Febrero;2026
Nagua; 82,533,377 ; 58,306,483 ;Febrero;2026
Arenoso; 65,894,526 ; 28,372,005 ;Febrero;2026
Samaná; 22,801,119 ; 19,735,343 ;Febrero;2026
Río San Juan; 35,136,752 ; 21,659,804 ;Febrero;2026
Villa Riva; 25,290,130 ; 16,598,503 ;Febrero;2026
San Francisco de Macorís; 128,531,650 ; 92,624,358 ;Febrero;2026
Santiago; 86,214,120 ; 97,950,313 ;Febrero;2026
Moca; 80,315,645 ; 46,146,256 ;Febrero;2026
San José de las Matas; 34,385,984 ; 27,848,816 ;Febrero;2026
Constanza; 104,588,834 ; 90,674,755 ;Febrero;2026
La Vega; 87,006,880 ; 146,877,419 ;Febrero;2026
Santiago Rodríguez; 44,641,375 ; 26,585,364 ;Febrero;2026
Montecristi; 45,692,260 ; 72,124,579 ;Febrero;2026
Puerto Plata; 37,323,013 ; 40,575,331 ;Febrero;2026
Mao Valverde ; 60,672,721 ; 111,179,588 ;Febrero;2026
Dajabón; 16,489,416 ; 16,275,855 ;Febrero;2026
San José de Ocoa; 112,072,128 ; 117,045,440 ;Febrero;2026
Bonao; 7,598,643 ; 23,545,881 ;Febrero;2026
San Cristóbal; 27,630,622 ; 17,533,873 ;Febrero;2026
Salcedo; 34,779,611 ; 16,019,093 ;Febrero;2026
Cotuí; 64,765,704 ; 81,565,970 ;Febrero;2026
Santo Domingo; 331,430,215 ; 277,923,153 ;Marzo;2026
El Seibo; 14,790,047 ; 24,358,986 ;Marzo;2026
Higüey; 38,008,801 ; 45,837,367 ;Marzo;2026
Hato Mayor; 17,222,570 ; 27,446,010 ;Marzo;2026
Monte Plata; 40,669,478 ; 47,897,816 ;Marzo;2026
Azua; 32,490,266 ; 24,816,358 ;Marzo;2026
Baní; 71,145,331 ; 58,188,091 ;Marzo;2026
Neyba; 13,472,428 ; 14,435,969 ;Marzo;2026
Barahona; 9,808,260 ; 8,653,335 ;Marzo;2026
San Juan de la Maguana ; 43,566,866 ; 80,050,056 ;Marzo;2026
Comendador; 11,238,028 ; 17,436,785 ;Marzo;2026
Nagua; 17,954,641 ; 34,542,917 ;Marzo;2026
Arenoso; 27,789,150 ; 33,644,975 ;Marzo;2026
Samaná; 32,651,243 ; 19,784,366 ;Marzo;2026
Río San Juan; 29,514,006 ; 21,975,683 ;Marzo;2026
Villa Riva; 52,650,240 ; 36,534,660 ;Marzo;2026
San Francisco de Macorís; 92,828,836 ; 105,963,910 ;Marzo;2026
Santiago; 207,287,410 ; 143,161,800 ;Marzo;2026
Moca; 89,574,550 ; 57,361,419 ;Marzo;2026
San José de las Matas; 25,186,201 ; 24,510,590 ;Marzo;2026
Constanza; 204,809,350 ; 134,582,324 ;Marzo;2026
La Vega; 96,825,905 ; 117,414,032 ;Marzo;2026
Santiago Rodríguez; 64,069,447 ; 38,206,487 ;Marzo;2026
Montecristi; 129,626,915 ; 129,434,031 ;Marzo;2026
Puerto Plata; 52,418,994 ; 40,899,498 ;Marzo;2026
Mao Valverde ; 137,812,824 ; 144,349,858 ;Marzo;2026
Dajabón; 13,902,847 ; 34,525,320 ;Marzo;2026
San José de Ocoa; 32,002,333 ; 75,799,933 ;Marzo;2026
Bonao; 91,599,550 ; 82,025,668 ;Marzo;2026
San Cristóbal; 27,402,500 ; 29,442,681 ;Marzo;2026
Salcedo; 20,057,468 ; 18,654,433 ;Marzo;2026
Cotuí; 63,584,916 ; 104,034,898 ;Marzo;2026
